2023/12/07 17:22:43 569829	INFO [auto_smokephone.cc->Load_config:325]	domain_config:  jiayouzhan
2023/12/07 17:22:44 207702	INFO [SmokePhone_new.cpp->detect:523]	inter_ared: 0.00 chepaiobj_area: 460.00 face:0 IOU is 0.000
2023/12/07 17:22:44 207706	INFO [SmokePhone_new.cpp->detect:492]	SmokePhoneDetection::detect:camID:0 person_det_resultsInside person = confidence:0.87298 at x:1555.71 y:205.72 w:76.89  h:188.10 tid:-1

2023/12/07 17:22:44 207710	INFO [SmokePhone_new.cpp->detect:514]	FaceDetection::detect:camID:0 person_det_resultsInside work_clothe_blue = confidence:0.40112 at x:1217.00 y:149.00 w:20.00  h:23.00 tid:-1

2023/12/07 17:22:44 207713	INFO [SmokePhone_new.cpp->detect:523]	inter_ared: 0.00 chepaiobj_area: 460.00 face:0 IOU is 0.000
2023/12/07 17:22:44 207716	INFO [SmokePhone_new.cpp->detect:492]	SmokePhoneDetection::detect:camID:0 person_det_resultsInside person = confidence:0.75031 at x:1214.77 y:180.39 w:54.59  h:113.39 tid:-1

2023/12/07 17:22:44 207719	INFO [SmokePhone_new.cpp->detect:514]	FaceDetection::detect:camID:0 person_det_resultsInside work_clothe_blue = confidence:0.40112 at x:1217.00 y:149.00 w:20.00  h:23.00 tid:-1

2023/12/07 17:22:44 207723	INFO [SmokePhone_new.cpp->detect:523]	inter_ared: 0.00 chepaiobj_area: 460.00 face:0 IOU is 0.000
2023/12/07 17:22:44 207725	INFO [SmokePhone_new.cpp->detect:492]	SmokePhoneDetection::detect:camID:0 person_det_resultsInside person = confidence:0.74615 at x:1178.50 y:139.12 w:61.84  h:150.26 tid:-1

2023/12/07 17:22:44 207728	INFO [SmokePhone_new.cpp->detect:514]	FaceDetection::detect:camID:0 person_det_resultsInside work_clothe_blue = confidence:0.40112 at x:1217.00 y:149.00 w:20.00  h:23.00 tid:-1

2023/12/07 17:22:44 207731	INFO [SmokePhone_new.cpp->detect:523]	inter_ared: 460.00 chepaiobj_area: 460.00 face:0 IOU is 1.000
2023/12/07 17:22:44 207734	INFO [SmokePhone_new.cpp->detect:542]	SmokePhoneDetection:camID:0   x:1217 y:149 w:20  h:23

2023/12/07 17:22:44 207737	INFO [SmokePhone_new.cpp->detect:563]	SmokePhoneDetection enlarged face on p:camID:0   x:1187 y:135 w:80  h:50

2023/12/07 17:22:44 207785	INFO [yolo_common.cpp->yolov4_detection_staff:1008]	SmokePhoneDetection_sp:detect entered.camID:0instanceID:0
2023/12/07 17:22:44 208866	INFO [yolo_common.cpp->yolov4_detection_staff:1026]	SmokePhoneDetection_sp: iniput image:w:130,h:100camID:0instanceID:0gpuId:0
2023/12/07 17:22:44 249815	INFO [yolo_common.cpp->yolov4_detection_staff:1054]	SmokePhoneDetection_sp:infer time:40ms,camID:0
2023/12/07 17:22:44 256301	INFO [SmokePhone_new.cpp->detect:906]	SmokePhoneDetection: kv.first:phone camID:0

2023/12/07 17:22:44 256306	INFO [SmokePhone_new.cpp->detect:906]	SmokePhoneDetection: kv.first:smoke camID:0

2023/12/07 17:22:44 256308	INFO [SmokePhone_new.cpp->detect:1229]	SmokePhoneDetection:det on enlarged face enteredcamID:0
2023/12/07 17:22:44 256311	INFO [SmokePhone_new.cpp->detect:1245]	SmokePhoneDetection:no objects for smokecamID:0
2023/12/07 17:22:44 256313	INFO [SmokePhone_new.cpp->detect:1260]	SmokePhoneDetection:exit detect()camID:0
2023/12/07 17:22:44 256316	INFO [auto_smokephone.cc->main:592]	SmokePhoneDetect sucessful
2023/12/07 17:22:44 256320	INFO [auto_smokephone.cc->main:603]	infer time:167ms

2023/12/07 17:22:44 256322	INFO [auto_smokephone.cc->main:605]	../images/2023100116541600001.jpg successfully
2023/12/07 17:22:44 270996	INFO [auto_smokephone.cc->main:578]	../images/2023100116541600002.jpg starting
2023/12/07 17:22:44 271010	INFO [yolo_common.cpp->yolov4_detection_staff:1008]	BasePersonDetection:detect entered.camID:0instanceID:0
2023/12/07 17:22:44 273465	INFO [yolo_common.cpp->yolov4_detection_staff:1026]	BasePersonDetection: iniput image:w:1920,h:1080camID:0instanceID:0gpuId:0
2023/12/07 17:22:44 290788	INFO [yolo_common.cpp->yolov4_detection_staff:1054]	BasePersonDetection:infer time:16ms,camID:0
2023/12/07 17:22:44 298306	INFO [yolo_common.cpp->decode_outputs:899]	Ignored  score:0.773274 label:2 x:-0.426342 y:82.1667 width:171.646 height:111.819

2023/12/07 17:22:44 298312	INFO [yolo_common.cpp->decode_outputs:899]	Ignored  score:0.835824 label:2 x:-0.846562 y:89.2591 width:170.643 height:112.422

2023/12/07 17:22:44 298317	INFO [yolo_common.cpp->decode_outputs:899]	Ignored  score:0.990332 label:5 x:124.828 y:-0.0891727 width:437.546 height:189.348

2023/12/07 17:22:44 298326	INFO [basePerson.cpp->mainfunc2:194]	BasePersonDetection: mainfunc2. input box:907.354,184.295,59.2962,164.73,score:0.744931class:work_clothe_yellow,camID:0
2023/12/07 17:22:44 298331	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:907.354,184.295,59.2962,164.73,score:0.744931class:work_clothe_yellow,camID:0
2023/12/07 17:22:44 298348	INFO [basePerson.cpp->mainfunc2:194]	BasePersonDetection: mainfunc2. input box:1162.14,159.13,60.3182,144.454,score:0.921352class:person,camID:0
2023/12/07 17:22:44 298352	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:1162.14,159.13,60.3182,144.454,score:0.921352class:person,camID:0
2023/12/07 17:22:44 298360	INFO [basePerson.cpp->mainfunc2:194]	BasePersonDetection: mainfunc2. input box:1500.88,197.477,65.2196,187.234,score:0.77727class:person,camID:0
2023/12/07 17:22:44 298364	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:1500.88,197.477,65.2196,187.234,score:0.77727class:person,camID:0
2023/12/07 17:22:44 298373	INFO [basePerson.cpp->mainfunc2:194]	BasePersonDetection: mainfunc2. input box:654.487,175.355,250.555,181.404,score:0.987656class:car,camID:0
2023/12/07 17:22:44 298377	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:654.487,175.355,250.555,181.404,score:0.987656class:car,camID:0
2023/12/07 17:22:44 298386	INFO [basePerson.cpp->mainfunc2:194]	BasePersonDetection: mainfunc2. input box:4.06129,86.3692,160.281,118.521,score:0.781614class:car,camID:0
2023/12/07 17:22:44 298390	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:4.06129,86.3692,160.281,118.521,score:0.781614class:car,camID:0
2023/12/07 17:22:44 298398	INFO [basePerson.cpp->mainfunc2:194]	BasePersonDetection: mainfunc2. input box:1.4345,158.811,105.173,151.535,score:0.623624class:car,camID:0
2023/12/07 17:22:44 298401	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:1.4345,158.811,105.173,151.535,score:0.623624class:car,camID:0
2023/12/07 17:22:44 298409	INFO [basePerson.cpp->mainfunc2:194]	BasePersonDetection: mainfunc2. input box:1248.08,15.5315,302.319,352.58,score:0.958681class:truck,camID:0
2023/12/07 17:22:44 298413	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:1248.08,15.5315,302.319,352.58,score:0.958681class:truck,camID:0
2023/12/07 17:22:44 299886	INFO [featuretensor.cpp->doInference:295]	FeatureTensor:: doInference:imgMats.size3instanceID:0 camID:0
2023/12/07 17:22:44 302424	INFO [featuretensor.cpp->doInference:375]	FeatureTensor::predictor0 doInference:infer time:1ms,camID:0
2023/12/07 17:22:44 302455	INFO [featuretensor.cpp->doInference:295]	FeatureTensor:: doInference:imgMats.size4instanceID:0 camID:0
2023/12/07 17:22:44 307379	INFO [featuretensor.cpp->doInference:402]	FeatureTensor::predictor1 doInference:infer time:2ms,camID:0
